2012    228
2011    232
2010    278
2009    288
2008    322
2007    344
2006    366
2005    394
2004    404
2003    385
2002    397
2001    478
2000    507
1999    507
1998    534
1997    558
1996    515
1995    524
1994    557
1993    549
1992    523
1991    558
1990    485
1989    557
1988    499
1987    495
1986    482
1985    433
1984    437
1983    436
1982    421
1981    426
1980    424
1979    439
1978    436
1977    479
1976    472
1975    526
1974    529
1973    561
1972    520
1971    548
1970    577
1969    622
1968    691
1967    684
1966    653
1965    635
1964    604
1963    578
1962    601
1961    551
1960    603
1959    625
1958    552
1957    521
1956    563
1955    531
1954    519
1953    484
1952    461
1951    443
1950    406
1949    388
1948    376
1947    395
1946    347
1945    323
1944    302
1943    283
1942    277
1941    257
1940    254
1939    250
1938    239
1937    234
1936    214
1935    195
1934    183
1933    172
1932    167
1931    145
1930    143
1929    142
1928    134
1927    126
1926    128
1925    113
1924    107
1923    97
1922    98
1921    90
1920    86
1919    87
1918    81
1917    77
1916    76
1915    77
1914    76
1913    84
1912    92
1911    93
1910    98
1909    99
1908    108
1907    103
1906    110
1905    125
1904    124
1903    130
1902    137
1901    137
1900    142
1899    132
1898    132
1897    130
1896    153
1895    143
1894    158
1893    161
1892    164
1891    169
1890    163
1889    155
1888    180
1887    164
1886    169
1885    204
1884    198
1883    186
1882    187
1881    197
1880    202
